review,y
불판이 작아서 6명 테이블에 6명이 고기먹기엔 힘들었어요 ㅠㅠ,0
좋았습니다,1
분위기도 좋고 했지만 고기가 얇아 아쉬웠습니다.,1
"생삼겹 고기 맛이 별로입니다.너무 얇음;;
이베리코 목살은 돼지 냄새나요;;;",0
고기가맛있어서. . . 저도모르게그만 술을...,1
"고기는 맛있습니다!
근데 강남이라 사람이 엄청많아서ㅎㅎ
시끄럽고 알바생들이 바빠서 서빙받기가 쉽지는 않았네요~ 어쩔수없는 건가 .... 음식맛은 굿입니다.",1
친절하시고 맛잇게잘묵었습니다.,1
우삼겹이 맛있네요~~,1
고기는 정말 맛있었는데 인원이 여섯인데 화로 하나줘서 한점 먹고 한참 기다리고 한점 먹고 한참 기다리고 매우매우 불편했네요,0
"강남에서 많은 인원 모임 장소 하기에는 좋은 곳 같아요!
고기 맛은 평범하지만... 냉면은 최고로 맛있었습니다.",1
"룸 배정을 못받아 좀 아쉬웠지만 구이, 된장 만족스런식사였습니다.",1
분위기 좋고 고기 맛있고 친절합니다,1
"고기맛은 좋았으나, 구워주시는 분이 너무 바쁘셨나 호출을 하는데도 늦게 오시고 빠른 처리가 안이루어졌어요ㅜㅜ 친절 하셔서 더 안타까웠어요. 홀에 손님이 많으면 서버하시는 분들을 늘려주셔야 될꺼같아요. 아무래도 모든테이블의 고기를 구워주시니까 힘들어 보이셨어요.",0
"룸으로 변경해주셔서 잘먹고 갑니다
구워 주시는 분이 좀 바쁘긴했지만 
거하게 먹고 놀았네요",1
"직원친절하고 고기는 뭐 워낙 괜찮았고한데
좌석을 입구쪽에 배정해주셔서 너무 춥게 음식을 먹었습니다",0
"비가 오는 바람에 예약한 시간보다 늦었었는데, 재촉하지 않으시고 기다려주셔서 감사합니당~~~
너무 잘 먹었어요",1
확실히 본점보다는 못하네요. 고기 질도 그저 그렇고 서비스도 쫌 느리고 너무 번잡해요.,0
"갈 때마다 감탄하고 옵니다.
최상급의 고기퀄리티와 서버분의 친절함까지..
완벽한 식사였어요~",1
친절하고 맛있었어요,1
음식도 빠르게 서비스해주시고 맛도 괜찮았습니다.,1
칼국수는 깔끔하고 족발도 맛있었어요 근데 양은 조금 작은듯 3명이ㅠ먹기에 적당해여,1
저희가 비록 늦게 가긴 했지만 서비스가 약간 느린것같았습니다. 공깃밥이나 주먹밥도 시킨지 한참만에  나오고... 맛있게 먹었지만 이 부분이 아쉽습니다.(그리고 저는 주먹밥 얘기하셔서 테이블당 1개씩 주시는줄 알았는데 1개만 주셔서 당황했습니다),0
"예약하며 요청란에 인원 말씀드렸고, 전화도 드렸었는데. 10분 전 도착해 예약자라하니 자리까지 안내해줘놓고 뒤늦게 예약해놓고 왜 안오느냐고 짜증섞인채 전화라니.. 여기까진 뭐 착오로 그럴 수 있다 생각했는데 이후에도 사과 한마디 없이 따지듯 열명 예약 아니었느냐고 되묻는데 마지막까지 불쾌했습니다. 맛도 서빙도 좋았습니다. 다만 여직원의 태도가 매우 불쾌했어요",0
"강남점은 매장이 넓어서 좋네요ㅎㅎ
스페셜세트 먹었는데 맛도 있고 인스타 이벤트로 음료도 주셔서 잘먹었습니다~",1
맛있어서 또 갔어요,1
맛있어요:),1
"매장이 넓어서 단체로 회식하기 좋았어요
족발도 맛있고 칼국수도 무한리필인데 맛있었어요
회사에서 칭찬받아서 리뷰남겨요ㅎ",1
굿이었습니다,1
족발도맛있고 테라스처럼? 전면창이 열려서 분위기 좋게 모임할수있었어요^^ 칼국수도맛있었습니다~,1
"믿고 가는 홍칼족발, 어제도 만족스러웠습니다.
아르바이트 하시는 분의 고압적인 태도는 다소 불편했지만, 전반적으로 만족합니다!",1
"짱좋아요 맛도맛인데 직원분들개좋아여
너므친절><
감사합니당!!",1
너무 맛있었습니다!!!,1
오랜만에 갔는데 맛있게 먹었습니다.,1
만족합니다,1
"특이한 고기 굽기 방식으로 연기가 많이 안나서 좋아요~
고기 맛있고 셀러드 진짜 커요! 
일하시는 분들은 약간 초짜 느낌.
예전에는 사람들이 많아서 줄서서 먹었는데 지금은 한산해서 좋아요. 
암튼 잘먹었슴다.",1
맛있어요 근데 자리는 좁아요,1
우선 처음 방문이하 스타일에 좀 당황했구요~~그렇지만 고기 탄연기가 없어서 몸에서 고기 냄새가 안나내요~~^^ 그리고 종업원분들 친절하셔서 즐거운 시간이었어요~~또 이용할 것같에요~~,1
분위기도 좋고 컨셉도 신선하고 맛도 최고였는데 저희는 다 대식가라서 고기 익는거 기다리는 게 너무 감질맛났어요ㅜㅜ ㅋㅋ 다음에 갈때는 다른 메뉴도 시켜서 고기 익을동안 먹으려구요ㅋ,1
"독특한 고기맛과 인테리어

데이트때 고기가 땡기지만 냄새가 걱정이라면 추천

건장한 남자들끼리 갈꺼면 양이좀..",1
맛있네요.,1
"정말 기막힌 맛입니다
사장님 친절 직원분들 완전 프로의식",1
손님도많고 서비스도좋고 맛은더더욱 좋았어요 가격이 후덜덜이지만^^;;,1
맛있고 친절했어요! 또 방문할게요,1
좋았습니다.,1
"진짜 맛있고 서비스도 대박이에요!!!!
볶음밥도 날치알도 짱짱많고 이영자 맛집답게 진짜 맛있습니당",1
정말 맛있고 친절해요 된장찌개는 좀 싱거웠어요,1
"장흥삼합과는 다른 스타일의 진대감 차돌삼합.
다양한 곁들이와 같이 먹는 맛이 굿!",1
남자친구한테 엄청 대박맛집 예약해놨으니 기대하라고 큰소리떵떵치고 데리고갔는데..예약확인안된다며 예약한거맞냐고 입구에서부터 몇번이나 되물어보시니 엄청 민망했어요.일부러 예약확정된거맞는지 전화해서 확인까지 하고간거였는데 막상가보니 예약자명단에 제이름은 없어서 황당...그래도 큰자리 편하게앉으라고 해주셔서 감사했지만..둘이서 그 큰자리차지하고있으니 괜시리 민폐끼치는것같아서 먹는내내 마음편치않았어요. 반찬도 얼마나 일찍담아논건지 윤기없이 다매말라있고..삼성타운점은 볶음밥시키면 나오는 된장찌개도 너무맛있어서 된장찌개맛집인줄 착각할정도였는데 똑같은 체인이여도 맛이 다른건지 여기지점은 된장찌개 완전 맹탕이였습니다..삼성타운점 처음가보고 완전반해서 이번엔 여기지점으로 방문해보았는데...여러모로 비교가 많이되서 아쉬웠습니다,0
예약해서 편하게 즐겼어요~,1
소고기 관자조합 ㅎㅎ 다 구워주셔서 더 맛있게먹었어요 결혼한다고 친구만난 거였는데 청첩장보시더니 결혼선물도 주시고^^ 감사합니당~,1
"너무 만족스러웠습니다! 요청사항에 요청한대로 창가쪽 테이블로 주셨고, 서비스, 곱창상태도 다 만족스러웠습니다 : )",1
시끄러워요 ㅠㅠㅠㅠ,0
"맛있어요~친절하고  좋았어요
부추도  맛있구  순두부찌게가 서비스로  나왔는데  리필두  해주시고 좋아요",1
시끌시끌하긴 했는데 최근 먹은 곱창중에 곱이 제일 많았어요 짱 !!,1
가격 맛 모두 만족,1
서비스는 나쁘지 않았습니다만 가격대비 양이 적은 것은 조금 아쉬웠습니다! 인당 3만원어치는 먹어줘야 배가 찰 것같네요 ㅎㅎ 여성 2인 기준입니다,0
금요일 피크타임에 예약시간이 지났음에도 자리를 잘 마련해주셔서 감사드립니다. 가게가 손님들로 꽉차 활기가 넘쳐 좋았고 음식도 맛있어서 10여년만에 미국에서온 후배와 좋은시간 되었습니다. 또 이용하고 싶습니다.,1
굿이에요!,1
"지난번에 갔다가 너무 맛있고 직원들도 친절해서 예약 하고 재방문 했어요ㅎㅎㅎㅎ
역시 강남역 곱창고 너무 맛있고, 친절한 서비스 감동이네요~
사람들도 많고 분위기도 좋아서 친구들이랑 다음주에 또가려구요!!!
강남역 곱창고 타매장과 비교하지 마세요 진심 추천합니다^^",1
"곱창고라도 다같은 곱창고가 아니였네요 ㅎㅎ 
강남역 곱창고 맛, 분위기, 서비스 모두 최고였습니다!! 앞으로도 자주 이용할게요~강남역 핫플레이스 곱창고 번창하세요^^",1
맛있어요 또갈듯,1
친구들하고 모임할 때 좋았던 것 같아요! 음식도 정갈해서 맛있게 잘 먹었습니다^^ 단지 점심시간 때 바쁘셔서 그런지 서빙이 늦어졌습니다. 그 외엔 만족스러웠어요!,1
"너무너무 만족했답니다.
강남에는 맛있는 음식이 진짜 찾기힘든데
정말 너무 맛있는 음식이였어요 ㅎㅎ
같이가신분들도 만족하고 개인적으로 음식점 덕분에 하던일 잘 마무리가 된고 같아요 ㅎㅎ
다음에는 가족이랑 가볼게요~",1
분위기도 맛도 Good,1
"한우 불고기라서 확실히 고기 퀄리티가 다르더라구요!
무한리필로 정말 맛있게 먹고 왔어요ㅎㅎ",1
강남에 여기 만큼 정원있구 괜찮은 고기집은없는거같아요 고기도전부 다 구워주시고 서비스가 넘좋아요 고기도 맛있고 ^^,1
"잘먹구 갑니다!! 
음식도 맛있고 !! 
서비스도 좋네요!!

3.1절 맞이해서 가족 외식을 다녀왔는데 가족 모두 만도했습니다!!
다음에 또 오겠습니다!!!",1
"백억하누...고기가진짜너무맛있네요!! 서비스도좋고 가족끼리 밥먹기 너무좋은곳이예용..회식장소로 추천해야겠어요^^,,",1
