선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR,연봉(2018),연봉(2017)
켈리,SK,16,7,0,0,0,30,30,190.0,8.95,2.13,0.76,0.342,73.7,3.6,6.91,3.69,3.44,6.62,140000,85000
소사,LG,11,11,1,0,0,30,29,185.1,7.43,1.85,0.53,0.319,67.1,3.88,6.8,3.52,3.41,6.08,120000,50000
양현종,KIA,20,6,0,0,0,31,31,193.1,7.36,2.09,0.79,0.332,72.1,3.44,6.54,3.94,3.82,5.64,230000,150000
차우찬,LG,10,7,0,0,0,28,28,175.2,8.04,1.95,1.02,0.298,75.0,3.43,6.11,4.2,4.03,4.63,100000,100000
레일리,롯데,13,7,0,0,0,30,30,187.1,7.49,2.11,0.91,0.323,74.1,3.8,6.13,4.36,4.31,4.38,111000,85000
피어밴드,KT,8,10,0,0,0,26,26,160.0,7.42,1.74,1.12,0.289,76.1,3.04,6.52,4.42,4.32,3.94,85000,35000
고영표,KT,8,12,0,1,0,25,24,141.2,7.94,1.02,0.83,0.362,64.6,5.08,2.97,3.88,3.78,3.87,11500,5200
장원준,두산,14,9,0,0,0,29,29,180.1,6.24,2.55,0.6,0.293,75.8,3.14,7.28,4.26,4.35,3.85,100000,100000
함덕주,두산,9,8,0,2,0,35,24,137.1,9.11,4.19,0.52,0.321,73.1,3.67,4.99,3.91,3.67,3.78,16000,7000
팻딘,KIA,9,7,0,0,0,30,29,176.0,7.31,1.99,1.12,0.353,76.5,4.14,5.66,4.65,4.61,3.64,70000,70000
윤성환,삼성,12,9,0,0,0,28,28,174.1,6.71,1.91,1.14,0.305,72.7,4.28,5.36,4.78,4.8,3.03,80000,80000
유희관,두산,11,6,0,1,0,30,29,188.2,5.06,1.96,0.95,0.329,69.7,4.53,4.79,4.78,4.97,2.89,50000,50000
임기영,KIA,8,6,0,0,0,23,19,118.1,5.55,1.37,0.68,0.331,72.3,3.65,4.25,4.07,4.19,2.79,13000,3100
박세웅,롯데,12,6,0,0,0,28,28,171.1,6.15,2.94,1.1,0.29,78.3,3.68,5.92,5.07,5.14,2.54,25000,10000
백정현,삼성,8,4,0,3,0,35,14,100.2,8.4,3.22,0.98,0.336,73.2,4.38,3.01,4.51,4.34,2.25,15500,10000
송승준,롯데,11,5,0,1,1,30,22,130.1,7.8,2.83,1.31,0.298,75.8,4.21,4.22,4.91,4.77,2.2,40000,40000
류제국,LG,8,6,0,0,0,25,25,131.1,7.33,3.77,0.69,0.327,63.5,5.35,1.53,4.79,4.84,2.15,29000,35000
우규민,삼성,7,10,0,0,0,27,25,133.0,6.77,1.56,1.29,0.334,60.6,5.21,1.48,4.95,4.98,2.14,70000,70000
임찬규,LG,6,10,0,0,0,27,26,124.1,8.18,3.26,0.87,0.335,71.3,4.63,3.15,4.81,4.79,2.04,11500,6500
손승락,롯데,1,3,37,0,5,61,0,62.0,9,1.6,1.02,0.311,89.9,2.18,3.91,3.69,3.37,1.82,70000,70000
정우람,한화,6,4,26,0,5,56,0,59.0,11.9,2.9,0.76,0.304,79.4,2.75,2.85,3.26,2.69,1.81,120000,120000
윤희상,SK,6,7,0,0,0,23,22,120.0,6.15,2.48,1.2,0.34,63.1,6,1.52,5.13,5.22,1.8,13000,15000
원종현,NC,3,6,0,22,0,68,0,80.0,7.76,2.14,0.45,0.336,63.9,4.39,2.02,3.6,3.52,1.71,18500,14000
배영수,한화,7,8,0,0,0,25,25,128.0,6.05,2.04,1.2,0.328,66.4,5.06,2.47,5.1,5.21,1.68,50000,55000
박종훈,SK,12,7,0,1,0,29,28,151.1,6.36,3.63,0.95,0.287,75.3,4.1,4.31,5.38,5.55,1.62,20000,10000
이상화,KT,4,3,6,4,1,70,0,66.0,7.77,2.18,0.55,0.337,68.0,3.95,2.43,3.57,3.45,1.54,10000,4500
김진성,NC,10,6,0,15,2,69,0,89.2,9.84,2.71,1.3,0.268,76.1,3.61,3.2,4.3,3.92,1.47,23000,18000
이민호,NC,5,1,3,6,1,60,3,88.2,8.73,3.05,1.02,0.312,71.4,4.06,1.97,4.41,4.22,1.38,18800,16000
