create_date,price,text,phone_model,factory_price,maker,price_index
2017-03-19  4 35 00 PM,550000.0,"아이폰6플러스 블랙+애플라이트 64기가 팝니다  아이폰6플러스 블랙+애플라이트 64기가 팝니다 





 

 

 

 

 

 

 












아이폰6플러스 블랙+애플라이트 64기가 팝니다 




리퍼기간이 만료되어서 




하우징을 하게되었습니다 




상태 초a급 기스도없습니다 



아 아이폰6플러스 블랙+애플라이트 64기가 팝니다 아이폰6플러스 블랙+애플라이트 64기가 팝니다 리퍼기간이 만료되어서 하우징을 하게되었습니다 상태 초a급 기스도없습니다 블랙하우징,애플라이트,골드홈버튼링,골드카메라링,골드볼륨버튼,골드슬립버튼 검금으로 심플하고 튀지않게 이쁘게 했구요유심만 꽂고 바로 사용하시면 됩니다 사람들이 아이폰7이냐고 자주물어보고 실제로보시면 더욱이쁩니다 밤에 영롱하게 맥북처럼 뒷면에 사과로고가 비춰지고요전 아이폰7으로 넘어가기위해서 판매합니다 skt kt lg 3사 다가능합니다 박스는 어머니가 버리시고이어폰,충전기,usb 정품으로 모두 드립니다 직거래를 우선순위로하고 정구매하고싶으시면 선입금후 택배로 발송해드리겠습니다 못믿으시면 직거래하시길 추천해요 안전거래 안합니다 지역서울시 강남구 역삼동 차병원사거리 근처가격 55만원",iphone 6 64gb,924000,apple,95.96
2016-10-26  12 08 00 PM,380000.0,갤럭시s6엣지 32기가 팝니다 직거래  갤럭시s6엣지 32기가 품명 갤럭시s6엣지제품 단품상태 사진참고용량 32기가선택약정여부 가능 20%요금할인 통신사 lg최초통화일 16년1월 보증기한 17년1월까지 가격 38만원거래지역 수유까톡 kkt3978연락가능 78,galaxy s6 edge 32gb,979000,samsung,103.05
2016-10-25  12 52 00 PM,300000.0,"갤럭시s6 풀박스로 팝니다~~~ 새상품급  실기스조차 없어요  직접거래 구매한지 1개월만에 해외 발령나서 갔다가 이번에 돌아와서 쓰지도 못하고그대로 팝니다    실사용은 1개월인데 안썼다 보셔도 되구요     구성품은 미사용입니다완전 깨끗하구요 새폰이라고 하셔도 됩니다새핸드폰 사실바엔 약정없는 제폰을 사시는게 훨씬 이득이라고 봅니다32g이구요 골드색입니다 갤럭시s6 는 sk,kt,lg 다 사용이 가능하구요정상해지완료 했습니다직거래는 서울 오류역1호선  또는 부천에서 가능합니다안전거래,택배거래도 가능합니다 가격은 30만원 입니다 &lt;가격 조절은 하지 않습니다 ㅠㅠ양해쫌  쓰지도 못하고 판매하는거라서요 ,,&gt; 으로 문의 주세요~ 저녁 늦게도 거래 가능합니다새벽 2시까지요",galaxy s6 32gb,854000,samsung,103.05
2017-03-23  11 14 00 PM,290000.0,sk  g5 티탄 폰 단품판매합니다  직접거래 sk g5 티탄 폰 단품판매합니다 올 5월17일까지 as가능하며 폰단품이나 상태는 좋습니다 확정기변이라 본인 명의로 사용가능합니다 유심만 넣어서 온오프2-3회후 바로 사용가능하며통신3사 사용가능합니다 공기계상태이며 29만원에 판매합니다 천호동 직거래가능합니다 연락주세요,lg g5 32gb,836000,lg,95.96
2016-04-11  7 35 00 PM,280000.0," sony 엑스페리아 c5 ultra e5506 16gb  미사용 새제품 팝니다 11 소니 엑스페리아 c5 울트라sony xperia c5 ultra e5506 16gb white 팝니다미사용 제품으로 미국서 구매했습니다 언락되있는 상태로lg u+ 4g lte band 5, 7 ,kt 3g 2100mhz ,sk 3g 및 4g lte 사용가능합니다가격은 28만원 입니다이태원에서 직거래 가능하고 택배거래 가능합니다연락주세요59감사합니다",lg u 32gb,396000,lg,102.59
2017-03-22  1 03 00 AM,280000.0,"통신사skt, a710s  상태좋은 갤럭시a7 팔아봅니다~~블랙,핑크  a710s 갤럭시 a7 2016년형   sm-a710s 기기 외관상태 및 상세설명  블랙, 핑크 두 대입니다 커플폰으로 사용하다가 아이폰으로 갈아타면서 판매합니다 필름 붙이고 케이스 끼운채로 사용했구요 실사용 기간은 최초통화일 사진 찍어둔거 보시면 아시겠지만9-10개월 내외로 실제 사용기간 1년이 안되는 폰입니다 원체 물건을 곱게 잘 사용하는 편이라 꺠끗하게 잘 썼네요 -블랙은 테두리 왼쪽아래 모서리 쪽에 작은 생활기스 있으나 케이스 끼우시면 보이지 않는 부분이며자세히 봐야 보이는 정도입니다 -핑크는 휴대폰 뒷면에 스크래치 있습니다 초기화, 확정기변  둘 다 대리점에서 정상해지 해둔 공기계 상탭니다선택약정할인이나 확정기변도 하실 수 있는 핸드폰 입니다  구성  이어폰이나 충전기는 사용감이 있어 기기단품으로만 거래하고자 합니다 블랙은 사용하던 케이스가 있어서 원하시면 같이 드리겠습니다 가격  각 28만원에 팝니다 거래방법  직거래는 인천 부평구 내에서 가능합니다~네고나 에누리 요청은 정중히 사양하겠습니다  매너있는 거래 했으면 합니다   폰은 초기화 모두 해서 드릴거구요, 택배는 선입금 후 발송해드리고택배 배송비는 착불로 할게요안전거래는 해보니까 너무 거래과정이 번거롭고 오래걸려서 안해요ㅠㅠ 거래펑크나 직전파기 방지를 위해서 예약은 만원정도 받겠습니다 사진 찬찬히 보시고 글 내용 확인하시고추가 문의사항이 있으시면 연락 남겨주세요80 아래 사진은 블랙 색상 최초통화일 입니다  2016 01 21 입니다서비스센터 무상수리 2017 01 21까지 입니다 아래 사진은 테두리 모서리 부분의 작은 생활기스 입니다  케이스 끼우시면 전혀 티 안나는 부분입니다  아래 사진은 핑크 색상 최초통화일 입니다  2016 02 13 입니다서비스센터 무상수리 2017 02 13 까지 입니다",galaxy a7 2016 16gb,599500,samsung,95.96
2017-03-23  8 12 00 AM,270000.0,"갤럭시s6 32gb 블랙 a급팝니다 
	                            직접거래
	                         갤럭시s6 블랙 32gb 팝니다통신사 유플러스이면 3사유심 모두사용가능합니다 유심 확인했습니다 제품상태 사진보신는것처럼 위,아래 작은찍힘있으나 그외 나머지부분 깨끗합니다중고제품이지만 상태 양호합니다 모든기능정상이며 유심기변으로 사용하시면됩니다기계단품이며 27만원에팝니다 죄송하지만 네고는힘듭니다용산역 직거래이며 저녁8시이후 성신여대역 거래가능합니다중고폰매장 운영중입니다확실한제품만 선별해서 판매하니 믿구구매하셔도됩니다문의사항있으시면 댓글보기힘드니 문자나 전화주세요",galaxy s6 32gb,854000,samsung,95.96
2016-10-07  10 28 00 AM,40000.0,갤럭시 노트2 배터리 포함 a급 5만원 판매 1 홍대 직거래액정에 금이 갔지만 사용하시는데 지장없어요불편하시면 필름 붙히시면 됩니다배터리 포함 입니다다른외관은 깨끗합니다액정 버짐현상 없음,galaxy note 2 32gb,1089000,samsung,103.05
2017-03-25  2 18 00 AM,150000.0, 인천 g4 배터리커버 스카이블루 민트색  쌔거 팝니다 1 5만 g4배터리커버 스카이블루 g4 배터리 커버 스카이블루 색상 팝니다 민트색이에요현재는 인천 직거래 가능 택배거래시 착불입니다s급으로 새제품과 똑같습니다 로그는 sk로고에요거래원하시는분 연락주세요246거래내역 많으니 믿고 연락주세요택배비 착불안전거래 원하시면 세티즌에 올려놨습니다 구매해주세요,g4 32gb,825000,lg,95.96
2016-03-23  9 58 00 AM,15000.0," 팝니다  미국 유심 심플모바일 t-mobile망  마이크로 유심 2개 개당 1 5만,무료배송  1 중고나라 공식 앱 다운받기  편한 택배  퀵 신청하기 판 매 양 식아이디이메일싸이,블로그,타카페,타사이트 링크시 삭제 및 강퇴거주지역도,시,동까지 정확히 기재판매 제품명구입시기년,월 기재희망가격정확히 기재   3만~4만등의경매 유도글삭제 거래방법방문택배 신청하기,직거래, 택배, 안전거래상세설명여기서 구입했습니다  유심상품 상세 내용은 여기서 확인하세요 http storefarm naver comtankcallproducts336524964- 데이터  4gb lte + 2g 무제한- 미국내통화문자  무제한- 탱크콜 국제전화 100분  미사용 비밀번호 동봉해드림 제가 구입하자마자 작성한 스샷입니다 http order pay naver compurchasereview163908309premiumreviewviewshopn마이크로 유심 사이즈로 2개 skt 갤럭시 s3 3g, skt 갤럭시 노트2에서 사용  이며 송료포함 4만원입니다 미국 텍사스 지역 샌안토니오,오스틴  잘 사용 후 321 귀국했습니다 데이터사용은 하나는 2 1gb근처 사용 하나는 1 1gb 근처 사용했습니다 둘 다 service end date 는 2016-04-07 입니다   미국시간 위에 안심번호로 문자주시고, 택배거래 합니다 개당 1 5만원 무료배송으로 보내드립니다 위 항목을  거래금지 항목 포함  허위작성하거나 임의 삭제 또는 채우지 않을 경우 무통보 삭제될수 있습니다 ",galaxy note 2 32gb,1089000,samsung,94.9
