"","판매금액","제품명","출고가","date","rate","판매금액_z_rank","판매금액_month_mean"
"1",550000,"iphone 6 64gb","924000","Mar",95.96,"A",395502.512562814
"2",380000,"galaxy s6 edge 32gb","979000","Oct",103.05,"A",295000
"3",3e+05,"galaxy s6 32gb","854000","Oct",103.05,"A",256800
"4",290000,"lg g5 32gb","836000","Mar",95.96,"B",352173.913043478
"5",280000,"lg u 32gb","396000","Apr",102.59,"A",321666.666666667
"6",280000,"galaxy a7 2016 16gb","599500","Mar",95.96,"B",252222.222222222
"7",270000,"galaxy s6 32gb","854000","Mar",95.96,"B",220655.737704918
"8",40000,"galaxy note 2 32gb","1089000","Oct",103.05,"B",121363.636363636
"9",150000,"g4 32gb","825000","Mar",95.96,"B",157714.285714286
"10",15000,"galaxy note 2 32gb","1089000","Mar",94.9,"C",107833.333333333
"11",15000,"galaxy note 2 32gb","1089000","Mar",94.9,"C",107833.333333333
"12",15000,"wine smart jazz 4gb","242000","Oct",103.05,"C",104520.833333333
"13",15000,"wine smart jazz 4gb","242000","Oct",103.05,"C",104520.833333333
"14",15000,"lg u 32gb","396000","Oct",103.05,"C",105775
"15",15000,"galaxy s4 32gb","954800","Oct",103.05,"B",100466.666666667
"16",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"17",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"18",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"19",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"20",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"21",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"22",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"23",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"24",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"25",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"26",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"27",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"28",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"29",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"30",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"31",18000,"lg u 32gb","396000","Oct",103.05,"C",105775
"32",20000,"wine smart jazz 4gb","242000","Mar",95.96,"B",71118
"33",20000,"g3 cat.6 32gb","649000","Oct",103.05,"C",113669.12
"34",20000,"iphone 7 128gb","999000","May",102.59,"C",20000
"35",20000,"iphone 6 16gb","789800","Oct",103.05,"C",316051.344743276
"36",20000,"iphone 6 16gb","789800","Oct",103.05,"C",316051.344743276
"37",20000,"galaxy s6 32gb","854000","Oct",103.05,"C",256800
"38",20000,"wine smart jazz 4gb","242000","Mar",95.96,"B",71118
"39",20000,"vega iron2 32gb","783200","Oct",103.05,"C",99545.4545454545
"40",20000,"vega iron2 32gb","783200","Mar",95.96,"C",96000
"41",20000,"optimus g 32gb","968000","Mar",95.96,"C",133125
"42",20000,"lg u 32gb","396000","Oct",103.05,"C",105775
"43",20000,"optimus g 32gb","968000","Oct",103.05,"C",135967.741935484
"44",20000,"wine smart jazz 4gb","242000","Mar",95.96,"B",71118
"45",20000,"wine smart jazz 4gb","242000","Mar",95.96,"B",71118
"46",20000,"galaxy s3 3g 8gb","904200","May",102.59,"B",20000
"47",20000,"galaxy alpha 32gb","748000","Feb",94.9,"C",20000
"48",20000,"galaxy note3 32gb","1067000","Mar",95.96,"C",133545.454545455
"49",20000,"lg g2 32gb","616000","Oct",103.05,"C",63625
"50",20000,"lg g2 32gb","616000","Oct",103.05,"C",63625
"51",20000,"lg g2 32gb","616000","Oct",103.05,"C",63625
"52",20000,"lg g2 32gb","616000","Oct",103.05,"C",63625
"53",20000,"lg g2 32gb","616000","Oct",103.05,"C",63625
"54",20000,"lg g2 32gb","616000","Oct",103.05,"C",63625
"55",20000,"wine smart jazz 4gb","242000","Sep",103.05,"B",70000
"56",20000,"lg u 32gb","396000","Oct",103.05,"C",105775
"57",20000,"wine smart jazz 4gb","242000","Aug",102.59,"B",72000
"58",20000,"wine smart jazz 4gb","242000","Aug",102.59,"B",72000
"59",20000,"wine smart jazz 4gb","242000","Mar",94.9,"B",71118
"60",20000,"galaxy s4 32gb","954800","Mar",95.96,"B",115735.294117647
"61",20000,"g4 32gb","825000","Mar",95.96,"C",157714.285714286
"62",20000,"wine smart jazz 4gb","242000","Oct",103.05,"B",104520.833333333
"63",20000,"wine smart jazz 4gb","242000","Mar",94.9,"B",71118
"64",20000,"wine smart jazz 4gb","242000","Mar",94.9,"B",71118
