선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,연봉(2018),연봉(2017)
최정,SK,130,527,430,136,46,89,113,70,107,1,0.316,0.316,0.427,0.684,1.111,0.442,7.3,120000,120000
최형우,KIA,142,629,514,176,26,98,120,96,82,0,0.362,0.342,0.45,0.576,1.026,0.43,7.2,150000,150000
박건우,두산,131,543,483,177,20,91,78,41,64,20,0.39,0.366,0.424,0.582,1.006,0.424,7.04,37000,19500
나성범,NC,125,561,498,173,24,103,99,48,116,17,0.413,0.347,0.415,0.584,0.999,0.416,5.64,43000,35000
손아섭,롯데,144,667,576,193,20,113,80,83,96,25,0.374,0.335,0.42,0.514,0.934,0.398,5.6,150000,65000
김선빈,KIA,137,529,476,176,5,84,64,39,40,4,0.393,0.37,0.42,0.477,0.897,0.391,5.19,28000,8000
버나디나,KIA,139,621,557,178,27,118,111,41,112,32,0.354,0.32,0.373,0.54,0.913,0.38,5.01,75000,75000
박민우,NC,106,452,388,141,3,84,47,46,51,11,0.408,0.363,0.441,0.472,0.913,0.404,4.92,32000,25000
김하성,넥센,141,601,526,159,23,90,114,58,65,16,0.306,0.302,0.376,0.513,0.889,0.375,4.76,32000,22000
스크럭스,NC,115,518,437,131,35,91,111,65,134,4,0.353,0.3,0.402,0.595,0.997,0.411,4.7,70000,80000
러프,삼성,134,591,515,162,31,90,124,60,107,2,0.344,0.315,0.396,0.569,0.965,0.402,4.59,140000,110000
구자욱,삼성,144,647,564,175,21,108,107,63,138,10,0.371,0.31,0.383,0.527,0.91,0.382,4.28,25000,16000
안치홍,KIA,132,545,487,154,21,95,93,43,70,7,0.332,0.316,0.373,0.513,0.886,0.374,4.23,32000,22000
한동민,SK,103,414,350,103,29,64,73,46,79,2,0.302,0.294,0.396,0.614,1.01,0.414,3.92,15000,7000
서건창,넥센,139,615,539,179,6,87,76,67,68,15,0.367,0.332,0.403,0.429,0.832,0.368,3.9,38000,40000
나지완,KIA,137,551,459,138,27,85,94,62,105,1,0.332,0.301,0.405,0.534,0.939,0.398,3.87,60000,60000
이대호,롯데,142,608,540,173,34,73,111,50,84,1,0.327,0.32,0.391,0.533,0.924,0.388,3.86,250000,250000
박용택,LG,138,596,509,175,14,83,90,72,88,4,0.387,0.344,0.424,0.479,0.903,0.391,3.67,80000,80000
이정후,넥센,144,622,552,179,2,111,47,60,67,12,0.365,0.324,0.395,0.417,0.812,0.36,3.41,11000,2700
전준우,롯데,110,496,455,146,18,76,69,30,70,2,0.347,0.321,0.37,0.503,0.873,0.371,3.18,27000,20500
오재일,두산,128,466,412,126,26,62,89,45,80,1,0.324,0.306,0.378,0.561,0.939,0.392,3.12,30000,19800
정근우,한화,105,442,391,129,11,73,46,32,48,6,0.352,0.33,0.392,0.471,0.863,0.374,3.01,70000,70000
김태균,한화,94,407,356,121,17,51,76,43,56,0,0.362,0.34,0.413,0.545,0.958,0.401,2.96,160000,160000
손시헌,NC,124,391,349,122,5,32,45,16,44,1,0.384,0.35,0.386,0.447,0.833,0.364,2.93,50000,40000
번즈,롯데,116,468,423,128,15,71,57,29,100,10,0.363,0.303,0.361,0.499,0.86,0.367,2.87,73000,60000
