#,선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
1,켈리,SK,16,7,0,0,0,30,30,190,8.95,2.13,0.76,0.342,73.7,3.6,6.91,3.69,3.44,6.62
2,소사,LG,11,11,1,0,0,30,29,185.1,7.43,1.85,0.53,0.319,67.1,3.88,6.8,3.52,3.41,6.08
3,양현종,KIA,20,6,0,0,0,31,31,193.1,7.36,2.09,0.79,0.332,72.1,3.44,6.54,3.94,3.82,5.64
4,차우찬,LG,10,7,0,0,0,28,28,175.2,8.04,1.95,1.02,0.298,75,3.43,6.11,4.2,4.03,4.63
5,허프,LG,6,4,0,0,0,19,17,124.2,7.07,1.01,0.51,0.255,74.4,2.38,6.03,3.28,3.19,4.54
6,헥터*,KIA,20,5,0,0,0,30,30,201.2,6.65,2.01,0.94,0.318,77.8,3.48,7.51,4.34,4.32,4.53
7,레일리,롯데,13,7,0,0,0,30,30,187.1,7.49,2.11,0.91,0.323,74.1,3.8,6.13,4.36,4.31,4.38
8,밴헤켄,Hero,8,7,0,0,0,24,24,138.1,9.04,2.73,0.85,0.325,70,3.77,4.04,3.9,3.62,4.3
9,피어밴드,KT,8,10,0,0,0,26,26,160,7.42,1.74,1.12,0.289,76.1,3.04,6.52,4.42,4.32,3.94
10,고영표,KT,8,12,0,1,0,25,24,141.2,7.94,1.02,0.83,0.362,64.6,5.08,2.97,3.88,3.78,3.87
11,장원준,두산,14,9,0,0,0,29,29,180.1,6.24,2.55,0.6,0.293,75.8,3.14,7.28,4.26,4.35,3.85
12,함덕주,두산,9,8,0,2,0,35,24,137.1,9.11,4.19,0.52,0.321,73.1,3.67,4.99,3.91,3.67,3.78
13,팻딘,KIA,9,7,0,0,0,30,29,176,7.31,1.99,1.12,0.353,76.5,4.14,5.66,4.65,4.61,3.64
14,니퍼트,두산,14,8,0,0,0,30,30,179.2,8.01,3.86,1,0.308,74.4,4.06,6.14,4.85,4.75,3.59
15,최원태,Hero,11,7,0,0,0,25,25,149.1,7.59,2.05,1.15,0.323,72.6,4.46,4.45,4.63,4.54,3.24
16,윤성환,삼성,12,9,0,0,0,28,28,174.1,6.71,1.91,1.14,0.305,72.7,4.28,5.36,4.78,4.8,3.03
17,해커,NC,12,7,0,0,0,26,26,160.1,5.44,1.63,0.79,0.288,75.7,3.42,6.35,4.45,4.61,2.99
18,유희관,두산,11,6,0,1,0,30,29,188.2,5.06,1.96,0.95,0.329,69.7,4.53,4.79,4.78,4.97,2.89
19,맨쉽,NC,12,4,0,0,0,21,21,112.2,6.87,2.64,0.56,0.311,71,3.67,3.78,4.08,4.09,2.79
